date,bullish,neutral,bearish
1987-07-24,0.36,0.5,0.14
1987-07-31,0.26,0.48,0.26
1987-08-07,0.56,0.15,0.29
1987-08-14,0.45,0.35,0.2
1987-08-21,0.66,0.28,0.06
1987-08-28,0.52,0.18,0.3
1987-09-04,0.42,0.17,0.41
1987-09-11,0.5,0.23,0.27
1987-09-18,0.6,0.29,0.11
1987-09-25,0.53,0.17,0.3
1987-10-02,0.44,0.26,0.3
1987-10-09,0.46,0.39,0.15
1987-10-16,0.37,0.3,0.33
1987-10-23,0.39,0.3,0.31
1987-10-30,0.44,0.23,0.33
1987-11-06,0.47,0.31,0.22
1987-11-13,0.31,0.41,0.28
1987-11-20,0.39,0.42,0.19
1987-11-27,0.27,0.46,0.27
1987-12-04,0.25,0.33,0.42
1987-12-11,0.23,0.45,0.32
1987-12-18,0.33,0.4,0.27
1987-12-24,0.28,0.52,0.2
1987-12-31,0.25,0.49,0.26
1988-01-08,0.34,0.46,0.2
1988-01-15,0.34,0.4,0.26
1988-01-22,0.21,0.48,0.31
1988-01-29,0.26,0.45,0.29
1988-02-05,0.32,0.53,0.15
1988-02-12,0.32,0.46,0.22
1988-02-19,0.27,0.49,0.24
1988-02-26,0.3,0.51,0.19
1988-03-04,0.38,0.4,0.22
1988-03-11,0.43,0.4,0.17
1988-03-18,0.41,0.49,0.1
1988-03-25,0.45,0.38,0.17
1988-04-01,0.35,0.45,0.2
1988-04-08,0.33,0.48,0.19
1988-04-15,0.23,0.53,0.24
1988-04-22,0.23,0.57,0.2
1988-04-29,0.22,0.48,0.3
1988-05-06,0.38,0.42,0.2
1988-05-13,0.19,0.56,0.25
1988-05-20,0.23,0.52,0.25
1988-05-27,0.28,0.52,0.2
1988-06-03,0.26,0.62,0.12
1988-06-10,0.28,0.49,0.23
1988-06-17,0.29,0.5,0.21
1988-06-24,0.33,0.44,0.23
1988-07-01,0.45,0.38,0.17
1988-07-08,0.35,0.5,0.15
1988-07-15,0.26,0.37,0.37
1988-07-22,0.16,0.58,0.26
1988-07-29,0.23,0.54,0.23
1988-08-05,0.21,0.49,0.3
1988-08-12,0.26,0.48,0.26
1988-08-19,0.19,0.53,0.28
1988-08-26,0.28,0.4,0.32
1988-09-02,0.18,0.43,0.39
1988-09-09,0.17,0.52,0.31
1988-09-16,0.24,0.46,0.3
1988-09-23,0.2,0.53,0.27
1988-09-30,0.26,0.44,0.3
1988-10-07,0.13,0.49,0.38
1988-10-14,0.22,0.46,0.32
1988-10-21,0.26,0.51,0.23
1988-10-28,0.4,0.38,0.22
1988-11-04,0.35,0.46,0.19
1988-11-11,0.23,0.56,0.21
1988-11-18,0.3,0.34,0.36
1988-11-25,0.17,0.44,0.39
1988-12-02,0.19,0.47,0.34
1988-12-09,0.17,0.44,0.39
1988-12-16,0.24,0.54,0.22
1988-12-23,0.22,0.46,0.32
1988-12-30,0.24,0.54,0.22
1989-01-06,0.26,0.51,0.23
1989-01-13,0.36,0.44,0.2
1989-01-20,0.36,0.47,0.17
1989-01-27,0.32,0.49,0.19
1989-02-03,0.33,0.44,0.23
1989-02-10,0.43,0.31,0.26
1989-02-17,0.42,0.41,0.17
1989-02-24,0.29,0.45,0.26
1989-03-03,0.29,0.35,0.36
1989-03-10,0.13,0.52,0.35
1989-03-17,0.28,0.43,0.29
1989-03-23,0.29,0.41,0.3
1989-03-31,0.18,0.42,0.4
1989-04-07,0.23,0.45,0.32
1989-04-14,0.25,0.42,0.33
1989-04-21,0.21,0.51,0.28
1989-04-28,0.31,0.4,0.29
1989-05-05,0.3,0.4,0.3
1989-05-12,0.38,0.43,0.19
1989-05-19,0.43,0.38,0.19
1989-05-26,0.48,0.31,0.21
1989-06-02,0.42,0.27,0.31
1989-06-09,0.43,0.34,0.23
1989-06-16,0.32,0.37,0.31
1989-06-23,0.33,0.22,0.45
1989-06-30,0.4,0.34,0.26
1989-07-07,0.37,0.32,0.31
1989-07-14,0.22,0.3,0.48
1989-07-21,0.32,0.39,0.29
1989-07-28,0.41,0.25,0.34
1989-08-04,0.35,0.3,0.35
1989-08-11,0.53,0.21,0.26
1989-08-18,0.35,0.28,0.37
1989-08-25,0.45,0.24,0.31
1989-09-01,0.34,0.3,0.36
1989-09-08,0.3,0.3,0.4
1989-09-15,0.31,0.44,0.25
1989-09-22,0.24,0.37,0.39
1989-09-29,0.33,0.38,0.29
1989-10-06,0.24,0.43,0.33
1989-10-13,0.28,0.52,0.2
1989-10-20,0.39,0.28,0.33
1989-10-27,0.36,0.33,0.31
1989-11-03,0.37,0.31,0.32
1989-11-10,0.27,0.37,0.36
1989-11-17,0.24,0.28,0.48
1989-11-22,0.27,0.4,0.33
1989-12-01,0.28,0.4,0.32
1989-12-08,0.31,0.41,0.28
1989-12-15,0.42,0.3,0.28
1989-12-22,0.36,0.32,0.32
1989-12-29,0.35,0.31,0.34
1990-01-05,0.4,0.3,0.3
1990-01-12,0.45,0.38,0.17
1990-01-19,0.31,0.49,0.2
1990-01-26,0.24,0.38,0.38
1990-02-02,0.15,0.37,0.48
1990-02-09,0.19,0.3,0.51
1990-02-16,0.23,0.43,0.34
1990-02-23,0.24,0.38,0.38
1990-03-02,0.21,0.37,0.42
1990-03-09,0.22,0.42,0.36
1990-03-16,0.25,0.35,0.4
1990-03-23,0.37,0.39,0.24
1990-03-30,0.34,0.35,0.31
1990-04-06,0.38,0.37,0.25
1990-04-12,0.27,0.56,0.17
1990-04-20,0.34,0.43,0.23
1990-04-27,0.28,0.35,0.37
1990-05-04,0.2,0.35,0.45
1990-05-11,0.28,0.38,0.34
