date,total_pc,index_pc,etp_pc,equity_pc,vix
2006-11-01,0.91,1.25,2.18,0.64,11.51
2006-11-02,0.9,1.12,3.41,0.61,11.42
2006-11-03,0.91,1.26,2.18,0.64,11.16
2006-11-06,0.76,1.26,1.57,0.55,11.16
2006-11-07,0.79,1.04,2.18,0.57,11.09
2006-11-08,0.78,0.99,1.07,0.68,10.75
2006-11-09,0.84,1.42,2.25,0.61,11.01
2006-11-10,1.06,1.18,2.62,0.79,10.79
2006-11-13,0.8,1.36,1.13,0.59,10.86
2006-11-14,0.82,1.4,1.0,0.58,10.5
2006-11-15,0.83,1.29,1.22,0.52,10.31
2006-11-16,0.78,0.99,1.75,0.53,10.16
2006-11-17,0.78,1.44,1.85,0.47,10.05
2006-11-20,0.86,1.37,2.38,0.54,9.97
2006-11-21,1.03,3.5,1.36,0.62,9.9
2006-11-22,0.89,2.08,1.72,0.63,10.14
2006-11-24,1.06,2.1,3.39,0.52,10.73
2006-11-27,1.27,2.21,3.36,0.68,12.3
2006-11-28,0.93,1.53,1.74,0.65,11.62
2006-11-29,0.67,1.08,0.7,0.53,10.83
2006-11-30,0.77,0.98,1.96,0.58,10.91
2006-12-01,0.91,1.5,1.63,0.59,11.66
2006-12-04,0.86,1.55,1.27,0.64,11.23
2006-12-05,0.76,1.17,1.44,0.57,11.27
2006-12-06,0.84,1.32,2.79,0.54,11.33
2006-12-07,0.89,1.48,1.3,0.69,12.67
2006-12-08,0.79,1.18,1.96,0.55,12.07
2006-12-11,0.72,1.04,1.68,0.57,10.71
2006-12-12,0.96,1.62,1.32,0.7,10.65
2006-12-13,0.87,1.44,1.76,0.57,10.18
2006-12-14,0.61,0.76,0.82,0.45,9.97
2006-12-15,0.74,0.93,2.13,0.5,10.05
2006-12-18,1.09,3.17,2.27,0.59,10.6
2006-12-19,0.96,1.47,1.51,0.67,10.3
2006-12-20,0.85,2.56,1.15,0.54,10.26
2006-12-21,0.79,1.91,1.48,0.45,10.53
2006-12-22,1.11,2.09,1.94,0.66,11.36
2006-12-26,0.84,1.76,1.61,0.62,11.26
2006-12-27,0.85,1.0,1.5,0.68,10.64
2006-12-28,0.96,0.98,1.83,0.73,10.99
2006-12-29,0.88,1.54,2.82,0.54,11.56
2007-01-03,0.87,1.5,1.79,0.59,12.04
2007-01-04,0.82,1.08,2.47,0.51,11.51
2007-01-05,0.9,1.21,2.88,0.59,12.14
2007-01-08,0.86,1.18,1.3,0.71,12.0
2007-01-09,0.79,1.16,1.05,0.67,11.91
2007-01-10,0.81,1.35,1.5,0.58,11.47
2007-01-11,0.72,1.29,0.91,0.54,10.87
2007-01-12,0.75,1.07,1.16,0.56,10.15
2007-01-16,0.89,1.23,2.51,0.56,10.74
2007-01-17,0.88,1.6,2.29,0.55,10.59
2007-01-18,0.9,1.36,1.68,0.6,10.85
2007-01-19,0.84,1.79,1.36,0.55,10.4
2007-01-22,0.97,1.45,2.02,0.62,10.77
2007-01-23,0.91,1.52,1.9,0.65,10.34
2007-01-24,0.85,1.76,1.65,0.58,9.89
2007-01-25,1.2,2.42,2.63,0.71,11.22
2007-01-26,0.98,1.43,2.39,0.66,11.13
2007-01-29,0.98,2.4,1.89,0.6,11.45
2007-01-30,0.94,2.15,1.47,0.68,10.96
2007-01-31,0.78,1.58,1.34,0.56,10.42
2007-02-01,0.84,1.29,2.21,0.57,10.31
2007-02-02,0.98,1.29,2.37,0.7,10.08
2007-02-05,0.82,2.18,1.71,0.57,10.55
2007-02-06,0.85,1.87,2.24,0.55,10.65
2007-02-07,0.87,1.17,1.94,0.65,10.32
2007-02-08,0.85,1.41,2.52,0.57,10.44
2007-02-09,0.93,1.15,1.85,0.68,11.1
2007-02-12,1.18,1.74,2.21,0.78,11.61
2007-02-13,0.96,1.15,1.78,0.74,10.34
2007-02-14,0.96,1.09,1.6,0.67,10.23
2007-02-15,0.76,1.03,1.31,0.54,10.22
2007-02-16,0.84,1.83,1.36,0.55,10.02
2007-02-20,0.96,1.55,1.51,0.65,10.24
2007-02-21,1.12,1.85,3.02,0.71,10.2
2007-02-22,1.04,2.25,1.71,0.66,10.18
2007-02-23,1.38,2.59,5.08,0.73,10.58
2007-02-26,1.03,1.95,1.99,0.75,11.15
2007-02-27,1.68,1.65,4.4,0.87,18.31
2007-02-28,1.1,1.47,1.65,0.73,15.42
2007-03-01,1.4,2.16,2.36,0.8,15.82
2007-03-02,1.32,1.57,2.56,0.8,18.61
2007-03-05,1.65,2.1,3.07,0.96,19.63
2007-03-06,1.24,1.58,2.33,0.77,15.96
2007-03-07,1.18,1.72,2.21,0.7,15.24
2007-03-08,1.02,0.84,2.55,0.77,14.29
2007-03-09,1.16,1.17,2.2,0.82,14.09
2007-03-12,1.06,1.16,2.77,0.75,13.99
2007-03-13,1.42,1.68,2.68,0.98,18.13
2007-03-14,1.61,2.52,2.18,0.89,17.27
2007-03-15,1.15,1.36,1.84,0.79,16.43
2007-03-16,1.23,1.55,2.75,0.84,16.79
2007-03-19,0.81,0.95,1.62,0.61,14.59
2007-03-20,0.95,1.49,1.31,0.73,13.27
2007-03-21,1.13,1.21,2.56,0.66,12.19
2007-03-22,0.93,1.35,1.31,0.61,12.93
2007-03-23,0.93,1.06,2.44,0.65,12.95
2007-03-26,1.0,1.35,1.83,0.69,13.16
2007-03-27,0.99,1.86,2.45,0.62,13.48
2007-03-28,1.36,2.3,2.28,0.89,14.98
2007-03-29,1.18,1.68,2.39,0.76,15.14
2007-03-30,1.2,1.83,3.05,0.67,14.64
2007-04-02,0.84,1.22,1.51,0.63,14.53
2007-04-03,1.13,1.68,2.78,0.66,13.46
2007-04-04,1.05,1.41,2.54,0.74,13.24
2007-04-05,0.76,1.26,1.24,0.55,13.23
2007-04-09,0.78,1.33,1.21,0.61,13.14
2007-04-10,1.14,1.41,4.67,0.69,12.68
2007-04-11,1.0,1.24,2.11,0.69,13.49
2007-04-12,1.03,1.28,2.67,0.73,12.71
2007-04-13,0.96,1.23,2.72,0.67,12.2
2007-04-16,0.84,0.91,2.01,0.56,11.98
2007-04-17,0.9,1.22,1.36,0.67,12.14
2007-04-18,0.81,1.32,1.3,0.54,12.42
2007-04-19,0.93,1.18,2.2,0.62,12.54
2007-04-20,0.75,1.39,1.2,0.5,12.07
2007-04-23,0.91,1.78,1.62,0.58,13.04
